stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
st00,cifar10_ff,cifar10,ff,,ok,checkpoint.pt,101,200000,0.8407,0.8424,0.9262109375,0.930390625,,,0.640016308426857,256,4,4,4,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st00,cifar10_paper_s0,cifar10,paper,0,ok,checkpoint.pt,101,200000,0.6562039999999999,0.669044,0.63877109375,0.6445734375000001,0.8503,0.8516,0.44993372410535815,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st00,mazes_paper_s0,mazes,paper,0,ok,checkpoint.pt,100,100000,0.8853152,0.9016125333333334,0.9051865625000001,0.9266802604166667,0.89999,0.91172,0.3464306630194187,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,,,0.1
st00,parity_lstm,parity,lstm,,ok,checkpoint_200000.pt,201,200000,0.5004301525297618,0.5482946971106151,0.5007818312872023,0.5465862940228174,0.5004301525297619,0.5493454706101191,nan,1024,8,16,1,,,random,64,,,,,0.0,,,,,,,0.1
st00,parity_paper_s0,parity,paper,0,ok,checkpoint_200000.pt,201,200000,0.6797026909722222,0.6797130766369047,0.6792320421006945,0.679769035218254,0.8803681873139881,0.8820684523809523,0.16327074382986342,1024,8,16,1,,,random,64,,,,,0.0,,,,,,,0.1
st00,qamnist_paper_s0,qamnist,paper,0,ok,checkpoint_200000.pt,201,200000,0.2341331845238095,0.36624391233766235,0.9204799107142858,0.9319754464285713,0.9799107142857143,0.9953497023809523,0.13475361670411767,1024,4,16,1,,,random,64,,,,,0.0,,,,,,,0.1
st00,sort_paper_s0,sort,paper,0,ok,checkpoint.pt,101,100000,0.8125,0.8753472222222223,0.8597222222222223,0.8986111111111111,,,0.0482308113326629,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,,,0.1
st01,cifar10_d_model2x,cifar10,d_model2x,,ok,checkpoint.pt,101,200000,0.68639,0.7269199999999999,0.70293359375,0.7286210937500001,0.8668,0.8686,0.43660332560539244,512,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_d_model2x_s1,cifar10,d_model2x,1,ok,checkpoint.pt,101,200000,0.7333699999999999,0.7363219999999999,0.7583156250000002,0.76111953125,0.8618,0.8625,0.4663848653435707,512,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_d_model2x_s2,cifar10,d_model2x,2,ok,checkpoint.pt,101,200000,0.6632620000000001,0.717958,0.67137890625,0.6969992187500001,0.863,0.8653,0.44329666942358015,512,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_d_modeld2,cifar10,d_modeld2,,ok,checkpoint.pt,101,200000,0.687428,0.713488,0.69683203125,0.6979875,0.8204,0.824,0.5400665491819382,128,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_d_modeld2_s1,cifar10,d_modeld2,1,ok,checkpoint.pt,101,200000,0.620546,0.643716,0.5974343750000001,0.615721875,0.8321,0.8322,0.379820117354393,128,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_d_modeld2_s2,cifar10,d_modeld2,2,ok,checkpoint.pt,101,200000,0.7087020000000002,0.7119900000000001,0.7237320312499999,0.72925703125,0.8368,0.8375,0.49714041501283646,128,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_d_modeld4,cifar10,d_modeld4,,ok,checkpoint.pt,101,200000,0.672782,0.7061879999999999,0.6915007812499999,0.71754453125,0.8205,0.8226,0.5434322685003281,64,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_d_modeld4_s1,cifar10,d_modeld4,1,ok,checkpoint.pt,101,200000,0.7225940000000002,0.736114,0.7556999999999999,0.7571671875000001,0.8247,0.8266,0.5605878412723542,64,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_d_modeld4_s2,cifar10,d_modeld4,2,ok,checkpoint.pt,101,200000,0.668842,0.6708459999999999,0.6654296875,0.6674968749999999,0.8211,0.8224,0.4653785765171051,64,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_headsh16,cifar10,headsh16,,ok,checkpoint.pt,101,200000,0.662416,0.6853999999999999,0.6560984375,0.6646632812499998,0.8424,0.8438,0.47850608080625534,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_headsh16_s1,cifar10,headsh16,1,ok,checkpoint.pt,101,200000,0.617522,0.6332639999999999,0.5776070312499999,0.59198515625,0.8306,0.8307,0.36748062521219255,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_headsh16_s2,cifar10,headsh16,2,ok,checkpoint.pt,101,200000,0.683262,0.712076,0.7185679687500002,0.7332453124999999,0.8477,0.8493,0.4939125910401344,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_headsh2,cifar10,headsh2,,ok,checkpoint.pt,101,200000,0.629668,0.6514819999999999,0.618265625,0.6262031249999999,0.8418,0.8434,0.429109500348568,256,2,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_headsh2_s1,cifar10,headsh2,1,ok,checkpoint.pt,101,200000,0.59862,0.608972,0.5402874999999999,0.54270078125,0.8019,0.8033,0.390096378326416,256,2,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_headsh2_s2,cifar10,headsh2,2,ok,checkpoint.pt,101,200000,0.6165360000000001,0.6569780000000001,0.6155640625000001,0.64125546875,0.8489,0.8503,0.46580119132995607,256,2,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_headsh8,cifar10,headsh8,,ok,checkpoint.pt,101,200000,0.6340859999999999,0.6684,0.6208406249999999,0.65016171875,0.845,0.8466,0.46494805067777634,256,8,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
st01,cifar10_headsh8_s1,cifar10,headsh8,1,ok,checkpoint.pt,101,200000,0.6640999999999999,0.678238,0.6530578125,0.66434921875,0.8392,0.8407,0.47992817014455796,256,8,64,5,,,random-pairing,512,,,,,0.0,,,,,,,0.1
